sensor_index,latitude,longitude,confidence,pm2.5_atm,pm25_corrected,lat_round,lon_round
137366,38.52926,-121.49058,100,5.4,4.268000000000001,38.53,-121.49
137500,38.55222,-121.40355,100,6.5,4.84,38.55,-121.4
137812,38.54251,-121.44978,93,10.1,6.712,38.54,-121.45
138352,38.52188,-121.479355,100,5.1,4.112,38.52,-121.48
138370,38.466595,-121.4286,100,6.1,4.632,38.47,-121.43
139538,38.45195,-121.42778,100,6.4,4.788,38.45,-121.43
139590,38.621704,-121.49623,100,5.2,4.164,38.62,-121.5
139778,38.53514,-121.4857,100,7.2,5.204000000000001,38.54,-121.49
139788,38.6367,-121.34802,82,0.7,1.8239999999999998,38.64,-121.35
140458,38.523037,-121.42567,100,2.6,2.8120000000000003,38.52,-121.43
147182,38.583244,-121.47306,100,9.3,6.296,38.58,-121.47
147260,38.604527,-121.451645,100,7.1,5.151999999999999,38.6,-121.45
147286,38.6089,-121.470055,100,4.0,3.54,38.61,-121.47
147298,38.549057,-121.43543,100,7.6,5.412,38.55,-121.44
147306,38.53361,-121.47,100,1.3,2.136,38.53,-121.47
147312,38.52332,-121.51864,100,6.2,4.684,38.52,-121.52
147330,38.66357,-121.4471,100,5.6,4.372,38.66,-121.45
149007,38.533825,-121.48608,100,7.9,5.5680000000000005,38.53,-121.49
149734,38.52662,-121.56562,100,4.9,4.008000000000001,38.53,-121.57
151192,38.57274,-121.44761,100,1.2,2.084,38.57,-121.45
151484,38.49665,-121.551384,100,6.1,4.632,38.5,-121.55
154343,38.65511,-121.460106,100,5.9,4.5280000000000005,38.66,-121.46
154673,38.72148,-121.21549,100,5.4,4.268000000000001,38.72,-121.22
154757,38.613506,-121.26836,100,5.9,4.5280000000000005,38.61,-121.27
161043,38.629807,-121.421524,100,4.9,4.008000000000001,38.63,-121.42
161045,38.525597,-121.489746,100,9.2,6.244,38.53,-121.49
161055,38.47739,-121.497086,100,0.8,1.876,38.48,-121.5
161081,38.550114,-121.44312,100,5.9,4.5280000000000005,38.55,-121.44
161089,38.608433,-121.44627,100,5.3,4.215999999999999,38.61,-121.45
161095,38.544315,-121.47148,100,6.0,4.58,38.54,-121.47
